id,ReportType,CurrentStatus,Description,DateCreate_Converted,DateClosed_Converted,location,YEAR
"638,704",Broken / Vandalized signs,Referred To Dept,It is downed sign as you get on freeway from waikele center,1/30/19 14:48,,"(21.4022825, -158.0067617)",2019
"638,702",Broken / Vandalized signs,Referred To Dept,"Missing sign on light pole reported over 2 years ago. Request State or City to remove brackets from pole if sign isn,t going to be replaced. Brackets pose a safety hazard of teenagers climbing on post.",1/30/19 14:28,,"(21.40780939, -158.010341394)",2019
"638,699",Broken / Vandalized signs,Referred To Dept,Sign rusted and broken off the bass.,1/30/19 14:19,,"(21.401343931, -158.009180038)",2019
"636,867",Broken / Vandalized signs,Closed,Looks like someone hit the signs down. On Paiwa heading toward the east bound on ramp.,1/27/19 22:23,2/1/19 8:16,"(21.396820276, -158.009726946)",2019
"636,822",Broken / Vandalized signs,Referred To Dept,wind blew down street signs at 9th and hardesty. I have the signs in my yard.,1/27/19 15:35,,"(21.288345559, -157.799913781)",2019
"631,316",Broken / Vandalized signs,Referred To Dept,"The H1 on ramp signage is a bit worn... But, not anything we locals need help finding;)",1/15/19 7:20,,"(21.283829331, -157.799619199)",2019
"628,860",Broken / Vandalized signs,Referred To Dept,The school zone street sign is dangling,1/9/19 9:04,,"(21.371824, -157.736039)",2019
"624,953",Broken / Vandalized signs,Closed,Pole no sign,12/31/18 12:30,12/31/18 13:44,"(21.315409212, -157.865392285)",2018
"624,612",Broken / Vandalized signs,Referred To Dept,Bent/tagged pedestrian crosswalk sign. It s been like this for a long time.,12/30/18 15:45,,"(21.422677749, -157.802234131)",2018
"624,249",Broken / Vandalized signs,Referred To Dept,"There is no sign for one way street ,,,paoakalani, often tourists try and turn left , very dangerous situation.",12/28/18 15:23,,"(21.2748546, -157.8204658)",2018
"622,738",Broken / Vandalized signs,Referred To Dept,Tipped over no parking sign,12/22/18 11:21,,"(21.301516996, -157.84577334)",2018
"619,798",Broken / Vandalized signs,Referred To Dept,fallen sign.,12/13/18 22:38,,"(21.305931061, -157.835103014)",2018
"618,374",Broken / Vandalized signs,Referred To Dept,Xmas tree in disrepair,12/10/18 17:05,,"(21.277970444, -157.799389401)",2018
"617,443",Broken / Vandalized signs,Referred To Dept,Very FADED STOP,12/8/18 1:22,,"(21.302879951, -157.852641856)",2018
