"","coc","city","state","citywide","particular_places","none","unclear","percent_possible_citywide","percent_possible_particular_places","percent_possible_none","percent_possible_unclear","c3","meet_definition","sleeping_in_public","camping_in_public","sitting_laying_in_public","lodging_living_sleeping_in_vehicles_or_parking_a_vehicle_used_as_a_lodging","loitering_vagrancy","begging","food_sharing_ban","public_urination","public_intoxication"
"1","ca-humboldt county coc","eureka","ca",2,3,2,1,22.2222222222222,33.3333333333333,22.2222222222222,11.1111111111111,NA,"yes","none","only in particular places","only in particular places","select type","only in particular places","citywide","unclear","none","citywide"
"2","ca-pasadena coc","pasadena","ca",4,3,0,1,44.4444444444444,33.3333333333333,0,11.1111111111111,NA,"yes","select type","only in particular places","citywide","only in particular places","only in particular places","citywide","unclear","citywide","citywide"
"3","ca-chico/paradise/butte county coc","chico","ca",5,1,1,2,55.5555555555556,11.1111111111111,11.1111111111111,22.2222222222222,"yes","yes","citywide","citywide","citywide","unclear","citywide","only in particular places","none","unclear","citywide"
"4","ca-colusa, glenn, trinity counties coc","orland (glenn)","ca",2,1,4,2,22.2222222222222,11.1111111111111,44.4444444444444,22.2222222222222,"yes","yes","none","none","none","unclear","citywide","unclear","none","citywide","only in particular places"
"5","ca-yuba city & county/sutter county coc","marysville","ca",4,1,1,2,44.4444444444444,11.1111111111111,11.1111111111111,22.2222222222222,"yes","yes","citywide","select type","citywide","citywide","unclear","unclear","none","citywide","only in particular places"
"6","ca-long beach coc","long beach","ca",3,4,2,0,33.3333333333333,44.4444444444444,22.2222222222222,0,"yes","yes","none","citywide","only in particular places","citywide","only in particular places","citywide","none","only in particular places","only in particular places"
"7","ca-los angeles city & county coc","redondo beach","ca",3,2,4,0,33.3333333333333,22.2222222222222,44.4444444444444,0,"yes","yes","none","citywide","none","citywide","only in particular places","citywide","none","none","only in particular places"
"8","ca-san diego city and county coc","el cajon","ca",5,0,1,1,55.5555555555556,0,11.1111111111111,11.1111111111111,"yes","yes","citywide","citywide","select type","unclear","select type","citywide","none","citywide","citywide"
"9","ca-san diego city and county coc","san diego","ca",0,0,0,0,0,0,0,0,"yes","yes","select type","select type","select type","select type","select type","select type","select type","select type","select type"
"10","ca-watsonville/santa cruz city & county coc","santa cruz","ca",5,0,1,1,55.5555555555556,0,11.1111111111111,11.1111111111111,"yes","yes","unclear","citywide","citywide","citywide","select type","select type","none","citywide","citywide"
"11","ca-san jose/santa clara city & county coc","san jose","ca",3,2,4,0,33.3333333333333,22.2222222222222,44.4444444444444,0,NA,"yes","none","none","citywide","only in particular places","citywide","none","none","citywide","only in particular places"
"12","ca-san luis obispo county coc","san luis obispo","ca",4,2,2,0,44.4444444444444,22.2222222222222,22.2222222222222,0,NA,"yes","county","only in particular places","citywide","only in particular places","citywide","none","none","citywide","citywide"
"13","ca-san francisco coc",NA,"ca",0,0,0,9,0,0,0,100,NA,"yes","unclear","unclear","unclear","unclear","unclear","unclear","unclear","unclear","unclear"
"14","ca-amador, calaveras, tuolumne and mariposa counties coc","ione","ca",2,0,5,2,22.2222222222222,0,55.5555555555556,22.2222222222222,NA,NA,"none","unclear","none","citywide","unclear","none","none","none","citywide"
"15","ca-richmond/contra costa county coc","concord","ca",6,0,3,0,66.6666666666667,0,33.3333333333333,0,NA,NA,"none","citywide","none","citywide","citywide","citywide","none","citywide","citywide"
"16","ca-salinas/monterey, san benito counties coc","salinas","ca",3,3,3,0,33.3333333333333,33.3333333333333,33.3333333333333,0,NA,NA,"none","only in particular places","none","only in particular places","only in particular places","citywide","none","citywide","citywide"
"17","ca-santa rosa/petaluma/sonoma county coc","santa rosa","ca",6,0,2,1,66.6666666666667,0,22.2222222222222,11.1111111111111,NA,NA,"none","citywide","citywide","citywide","unclear","citywide","none","citywide","citywide"
"18","ca-mendocino county coc","ukiah","ca",2,5,2,0,22.2222222222222,55.5555555555556,22.2222222222222,0,NA,NA,"none","only in particular places","only in particular places","only in particular places","only in particular places","citywide","none","only in particular places","citywide"
"19","ca-oakland/alameda county coc","berkeley","ca",1,2,4,0,11.1111111111111,22.2222222222222,44.4444444444444,0,NA,NA,"none","none","none","only in particular places","select type","select type","none","citywide","only in particular places"
"20","ca-oakland/alameda county coc","oakland","ca",7,2,0,0,77.7777777777778,22.2222222222222,0,0,NA,NA,"citywide","citywide","citywide","citywide","only in particular places","only in particular places","citywide","citywide","citywide"
"21","ca-oakland/alameda county coc","union city","ca",5,0,3,1,55.5555555555556,0,33.3333333333333,11.1111111111111,NA,NA,"none","none","citywide","citywide","citywide","citywide","none","unclear","citywide"
