,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,1028,962,920,89.49%,749,279,0,103,361,655,12,0,114,749,697,697,93.06%,72,4,42,198,542,9,0,60,279,265,223,79.93%,61,163,113,3,0,54,0,0,0,.,0,0,0,0,0,0,125,96,96,76.80%,29,102,23,0,14,0,604,604,340,56.29%,48,187,417,0,233,0,529,71,71,71,100.00%,0,0,71,0,0,0
AK-501,912,528,487,53.40%,649,263,0,108,348,555,9,14,31,649,339,307,47.30%,93,35,77,259,384,6,0,16,263,189,180,68.44%,31,89,171,3,14,15,0,0,0,.,0,0,0,0,0,0,90,79,79,87.78%,21,72,18,0,18,0,344,344,177,51.45%,27,87,257,0,167,0,287,0,0,0,.,0,0,0,0,0,0
AL-500,911,811,657,72.12%,569,308,34,112,321,578,12,133,36,569,483,444,78.03%,0,40,76,218,339,12,89,16,308,294,179,58.12%,36,103,205,0,44,20,34,34,34,100.00%,0,0,34,0,0,0,191,191,191,100.00%,13,45,146,0,20,19,1768,1768,1277,72.23%,157,525,1243,0,566,0,299,0,0,0,.,0,0,0,0,0,0
AL-501,435,347,310,71.26%,298,137,0,62,214,221,0,43,0,298,246,211,70.81%,0,20,32,117,181,0,5,0,137,101,99,72.26%,30,97,40,0,38,0,0,0,0,.,0,0,0,0,0,0,60,60,60,100.00%,13,39,21,0,17,0,203,203,203,100.00%,5,15,188,0,0,0,157,0,0,0,.,0,0,0,0,0,0
AL-502,210,142,0,0.00%,102,108,0,20,90,104,16,0,16,102,62,0,0.00%,75,0,13,65,37,0,0,0,108,80,0,0.00%,7,25,67,16,0,16,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,50,50,0,0.00%,0,0,50,0,0,0,50,0,0,0,.,0,0,0,0,0,0
AL-503,531,476,123,23.16%,504,27,0,51,179,336,16,0,23,504,454,101,20.04%,0,0,40,159,329,16,0,16,27,22,22,81.48%,11,20,7,0,0,7,0,0,0,.,0,0,0,0,0,0,3,3,3,100.00%,0,0,3,0,3,0,309,309,78,25.24%,22,86,223,0,231,0,300,0,0,0,.,0,0,0,0,0,0
AL-504,360,300,300,83.33%,213,147,0,42,126,234,0,36,0,213,207,207,97.18%,0,0,15,47,166,0,36,0,147,93,93,63.27%,27,79,68,0,0,0,0,0,0,.,0,0,0,0,0,0,55,55,55,100.00%,7,20,35,0,28,0,464,464,241,51.94%,53,165,299,0,223,0,134,0,0,0,.,0,0,0,0,0,0
AL-505,153,131,131,85.62%,149,4,0,4,34,105,14,0,14,149,127,127,85.23%,0,0,4,34,101,14,0,14,4,4,4,100.00%,0,0,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,2,4,4,0,0,0,8,0,0,0,.,0,0,0,0,0,0
AL-506,127,89,83,65.35%,91,36,0,21,47,80,0,8,14,91,75,75,82.42%,0,0,15,25,66,0,0,14,36,14,8,22.22%,6,22,14,0,8,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,244,82.99%,37,64,230,0,267,0,0,0,0,0,.,0,0,0,0,0,0
