location,date_full,month,day,year,coordinates,link,latitude,longitude,notes/questions
I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Mar-15,March,N/A,2015,"38.898902, -77.014169",https://goo.gl/maps/KMdFkH4KS27Sabfv5,38.898902,-77.014169,
North Capitol Street NW and O Street NE,Apr-15,April,N/A,2015,NA,NA,NA,NA,
1300 Block of New York Avenue NE (Parking lot by NY Ave Men’s shelter),May-15,May,N/A,2015,"38.915669, -76.985228",https://goo.gl/maps/vuhNvBVG6EnAAo5K8,38.915669,-76.985228,
11th Street NE and H Street NE,May-15,May,N/A,2015,"38.900210, -76.991530",https://goo.gl/maps/fERBMsBE3QUEzpyL7,38.90021,-76.99153,
9th Street NE and Brentwood Parkway (Brentwood Reservoir),May-15,May,N/A,2015,"38.912067, -76.992022",https://goo.gl/maps/hFtNkSFqVYikovwM9,38.912067,-76.992022,
1300 Block of New York Avenue NE (Parking lot by NY Ave Men�s shelter),May-15,May,N/A,2015,NA,NA,NA,NA,
1900 Montana Avenue NE,May-15,May,N/A,2015,"38.916479, -76.977760",https://goo.gl/maps/XFNDoNT1eSMzwzuq8,38.916479,-76.97776,
I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Jun-15,June,N/A,2015,"38.898902, -77.014169",https://goo.gl/maps/KMdFkH4KS27Sabfv5,38.898902,-77.014169,
17th Street and Corcoran Street NW,Jun-15,June,N/A,2015,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
3149 16th Street NW (Old DPR headquarters),Jun-15,June,N/A,2015,"38.930124, -77.036369",https://goo.gl/maps/19LuFRBrxZjHVaBd8,38.930124,-77.036369,
695 Southeast Freeway (I-395 North towards the D Street SW Exit),Jun-15,June,N/A,2015,NA,NA,NA,NA,
New Jersey Avenue and H Street SE (CSX construction site - Under Virginia Ave SE),Jul-15,July,N/A,2015,"38.881074, -77.005846",https://goo.gl/maps/LVoCqGXxvJpiyDut9,38.881074,-77.005846,
4340 Connecticut Avenue NW,Aug-15,August,N/A,2015,"38.946295, -77.06475",https://goo.gl/maps/Zpo4nQwzAcmycRnh9,38.946295,-77.06475,
K Street Bridge Encampments,Aug-15,August,N/A,2015,NA,NA,NA,NA,Does this mean the K Street underpass in NoMa?
New Jersey Avenue NW Between I and K Streets (900 block of New Jersey Avenue),Sep-15,September,N/A,2015,"38.901738, -77.013586",https://goo.gl/maps/cwLZWbL4ucwrpSR57,38.901738,-77.013586,
20th Street between E Street and Virginia Avenue NW,Sep-15,September,N/A,2015,"38.892062, -77.019912",https://goo.gl/maps/NxbnBxGrjUkNFqbJA,38.892062,-77.019912,
3rd Street and E Street NW (Behind 441 4th building),Oct-15,October,N/A,2015,"38.896113, -77.015166",https://goo.gl/maps/DUXRVr7UzqyYYm669,38.896113,-77.015166,
4450 Wisconsin Avenue NW (Tenley-Friendship Library),Oct-15,October,N/A,2015,"38.947722, -77.079572",https://goo.gl/maps/3oRbLzmudZGKiwar7,38.947722,-77.079572,
