field_1,location,date_full,month,day,year,coordinates,latitude,longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"19",Klingle Road NW (Under 3200 Connecticut Ave Bridge),Nov-15,November,N/A,"2015","38.932588, -77.056706","38.932588","-77.056706","11","001","001302","11001001302","13.02",Census Tract 13.02,G5020,S,"1593506","14706","+38.9420430","-077.0556067"
"26",Washington Circle,1/21/16,January,"21","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"60",Washington Circle,9/20/16,September,"20","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"64",Washington Circle,10/25/16,October,"25","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"69",Washington Circle,11/17/16,November,"17","2016","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"92",Washington Circle,3/29/17,March,"29","2017","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"95",1500 Connecticut Avenue NW,4/11/17,April,"11","2017","38.910292, -77.043938","38.910292","-77.043938","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"132",Washington Circle,10/5/17,October,"5","2017","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"154",1240 22nd Street NW,2/6/18,February,"6","2018","38.906379, -77.049057","38.906379","-77.049057","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"164",Washington Circle,3/23/18,March,"23","2018","38.902516, -77.050162","38.902516","-77.050162","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
"168",1240 22nd Street NW,4/3/18,April,"3","2018","38.906379, -77.049057","38.906379","-77.049057","11","001","005500","11001005500","55",Census Tract 55,G5020,S,"629389","9350","+38.9077913","-077.0493321"
