location,date_full,month,day,year,notes
I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),March/2015,March,N/A,2015,
North Capitol Street NW and O Street NE,April/2015,April,N/A,2015,
11th Street NE and H Street NE,May/2015,May,N/A,2015,
9th Street NE and Brentwood Parkway (Brentwood Reservoir),May/2015,May,N/A,2015,
1300 Block of New York Avenue NE (Parking lot by NY Ave Men’s shelter),May/2015,May,N/A,2015,
1900 Montana Avenue NE,May/2015,May,N/A,2015,
I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),June/2015,June,N/A,2015,
17th Street and Corcoran Street NW,June/2015,June,N/A,2015,
3149 16th Street NW (Old DPR headquarters),June/2015,June,N/A,2015,
695 Southeast Freeway (I-395 North towards the D Street SW Exit),June/2015,June,N/A,2015,
New Jersey Avenue and H Street SE (CSX construction site - Under Virginia Ave SE),July/2015,July,N/A,2015,
4340 Connecticut Avenue NW,August/2015,August,N/A,2015,
K Street Bridge Encampments,August/2015,August,N/A,2015,
New Jersey Avenue NW Between I and K Streets (900 block of New Jersey Avenue),September/2015,September,N/A,2015,
20th Street between E Street and Virginia Avenue NW,September/2015,September,N/A,2015,
3rd Street and E Street NW (Behind 441 4th building),October/2015,October,N/A,2015,
4450 Wisconsin Avenue NW (Tenley-Friendship Library),October/2015,October,N/A,2015,
Whitehurst Freeway - 26th/27th and K NW,November/2015,November,N/A,2015,
Whitehurst Freeway - 26th/27th and K NW,November/2015,November,N/A,2015,
Whitehurst Freeway - 26th/27th and K NW,December/2015,December,N/A,2015,
Southwest Freeway (12th Street exit),November/2015,November,N/A,2015,
2300 E Street Expressway NW,November/2015,November,N/A,2015,
Klingle Road NW (Under 3200 Connecticut Ave Bridge),November/2015,November,N/A,2015,
295 overpass at Sousa Bridge,December/2015,December,N/A,2015,
NoMa - Underpass(es),December/2015,December,N/A,2015,
NoMa - First Street NE,December/2015,December,N/A,2015,
3149 16th Street NW (Old DPR headquarters),December/2015,December,N/A,2015,
1636 R Street NW,December/2015,December,N/A,2015,
320 Florida Avenue NE (behind Burger King),December/2015,December,N/A,2015,
100 Irving Street NW,1/19/2016,January,19,2016,
Washington Circle,1/21/2016,January,21,2016,
909 E Street NW,1/26/2016,January,26,2016,
7th Street and Pennsylvania Avenue NW,1/28/2016,January,28,2016,
NoMa - Underpass(es),2/2/2016,February,2,2016,
2016 Georgia Avenue NW,2/3/2016,February,3,2016,
1032 21st Street NW,2/3/2016,February,3,2016,
600 Frontage Road SE,2/4/2016,February,4,2016,
NoMa - First Street NE,2/9/2016,February,9,2016,
700 3rd Street NW,2/25/2016,February,25,2016,
3rd Street Tunnel,3/1/2016,March,1,2016,
3rd Street Tunnel,3/2/2016,March,2,2016,
295 overpass at Sousa Bridge,3/8/2016,March,8,2016,
7th Street and Maryland Avenue NE,3/9/2016,March,9,2016,
1000 Maine Avenue SW,3/9/2016,March,9,2016,
NoMa - First Street NE,3/11/2016,March,11,2016,
600-900 Pennsylvania Avenue NW,3/29/2016,March,29,2016,
3rd Street and G Street NW,4/18/2016,April,18,2016,
20th Street and Pennsylvania Avenue NW,5/17/2016,May,17,2016,
1300 Maine Avenue SW,5/19/2016,May,19,2016,
NoMa - Underpass(es),5/24/2016,May,24,2016,
NoMa - Underpass(es),6/28/2016,June,28,2016,
16th Street and I Street NW,6/30/2016,June,30,2016,
1100 Maine Avenue SW,7/5/2016,July,5,2016,
1600 Georgia Avenue NW,7/7/2016,July,7,2016,
16th Street and I Street NW,7/19/2016,July,19,2016,
1000 Block of New Jersey Avenue NW,7/26/2016,July,26,2016,
Whitehurst Freeway - 26th/27th and K NW,7/28/2016,July,28,2016,
NoMa - Underpass(es),8/2/2016,August,2,2016,
NoMa - First Street NE,8/4/2016,August,4,2016,
NoMa - Underpass(es),8/30/2016,August,30,2016,
Whitehurst Freeway - 26th/27th and K NW,9/1/2016,September,1,2016,
Seward Square,9/6/2016,September,6,2016,
2016 Georgia Avenue NW,9/8/2016,September,8,2016,
16th Street and K Street NW,9/8/2016,September,8,2016,
3rd Street Tunnel,9/13/2016,September,13,2016,
Washington Circle,9/20/2016,September,20,2016,
1701 Corcoran Street NW,9/20/2016,September,20,2016,
295 overpass at Sousa Bridge,9/27/2016,September,27,2016,
Whitehurst Freeway - 26th/27th and K NW,10/4/2016,September,4,2016,
2nd Street and New Jersey Avenue NW,10/11/2016,October,11,2016,
Washington Circle,10/25/2016,October,25,2016,
2nd Street and New Jersey Avenue NW,11/1/2016,November,1,2016,
Whitehurst Freeway - 26th/27th and K NW,11/3/2016,November,3,2016,
NoMa - Underpass(es),11/10/2016,November,10,2016,
2600 L Street NW,11/10/2016,November,10,2016,
Washington Circle,11/17/2016,November,17,2016,
NoMa - Underpass(es),11/22/2016,November,22,2016,
2600 L Street NW,12/8/2016,December,8,2016,
Whitehurst Freeway - 26th/27th and K NW,12/12/2016,December,12,2016,
NoMa - Underpass(es),12/13/2016,December,13,2016,
NoMa - First Street NE,12/20/2016,December,20,2016,
1200 Maine Avenue SW,1/5/2017,January,5,2017,
6th Street and Frontage Road SW,1/5/2017,January,5,2017,
2nd Street and E Street SW,1/10/2017,January,10,2017,
7th Street and D Street SW,1/10/2017,January,10,2017,
27th Street and K Street,1/12/2017,January,12,2017,
295 overpass at Sousa Bridge,1/26/2017,January,26,2017,
3rd Street Tunnel,1/26/2017,January,26,2017,
Whitehurst Freeway - 26th/27th and K NW,2/14/2017,February,14,2017,
Whitehurst Freeway - 26th/27th and K NW,2/16/2017,February,16,2017,
2600 L Street NW,2/16/2017,February,16,2017,
6th Street and Frontage Road SW,3/2/2017,March,2,2017,
17th Street and Corcoran Street NW,3/2/2017,March,2,2017,
1200 Maine Avenue SW,3/9/2017,March,9,2017,
Mitchell Park - 23rd Street and S Street NW,3/21/2017,March,21,2017,
New Jersey Avenue between K Street and L Street NW,3/21/2017,March,21,2017,
2300 E Street Expressway NW,3/23/2017,March,23,2017,
3rd Street Tunnel,3/27/2017,March,27,2017,
New Jersey Avenue between K Street and L Street NW,3/28/2017,March,28,2017,
Washington Circle,3/29/2017,March,29,2017,
Whitehurst Freeway - 26th/27th and K NW,4/4/2017,April,4,2017,
4250 Connecticut Avenue NW,4/11/2017,April,11,2017,
1500 Connecticut Avenue NW,4/11/2017,April,11,2017,
NoMa - Underpass(es),4/11/2017,April,11,2017,
NoMa - Underpass(es),4/13/2017,April,13,2017,
2016 Georgia Avenue NW,4/13/2017,April,13,2017,
2nd Street and Massachussets Avenue NW Bus Stop,4/18/2017,April,18,2017,
16th Street and Harvard Street NW,4/27/2017,April,27,2017,
2016 Georgia Avenue NW,4/27/2017,April,27,2017,
Whitehurst Freeway - 26th/27th and K NW,5/2/2017,May,2,2017,
North Borough Bridge,5/4/2017,May,4,2017,
1700 K Street NW,5/9/2017,May,9,2017,
2nd Street and H Street NW,5/16/2017,May,16,2017,
NoMa - Underpass(es),5/18/2017,May,18,2017,
Massachusetts Avenue and New Jersey Avenue NW,5/25/2017,May,25,2017,
13th Street and H Street NE,5/26/2017,May,26,2017,
2nd Street and D Street NW,5/30/2017,May,30,2017,
1701 Corcoran Street NW,6/1/2017,June,1,2017,
