coc_code,coc_name,rate_percpt_change_2014_2018,rank_rate_percpt_change_2014_2018,homeless_rate_perc_2014,homeless_rate_perc_2018,total_pop_2017
ma-502,lynn coc,0.7338795097382245,1,0.4128747757290158,1.1467542854672403,92522
ca-613,imperial county coc,0.6660795505217157,2,0.16610184607152412,0.8321813965932399,179408
fl-604,monroe county coc,0.3762803096978279,3,0.8648069490682279,1.2410872587660557,78399
ca-525,el dorado county coc,0.24468889166807134,4,0.10603185305616425,0.3507207447242356,183907
ca-519,"chico, paradise/butte county coc",0.19050579510635463,5,0.30907233891380614,0.49957813402016077,225190
ma-508,lowell coc,0.17664163488627005,6,0.5326424682724448,0.7092841031587148,110393
ca-600,los angeles city & county coc,0.16797207877050735,7,0.3712288719415282,0.5392009507120356,9264635
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",0.16638188328903963,8,0.2019664479231117,0.3683483312121513,311933
ca-507,marin county coc,0.15977447218733554,9,0.2607857370557713,0.42056020924310683,260367
or-505,oregon balance of state coc,0.15456360973437527,10,0.28066572657493166,0.43522933630930694,1468651
wa-500,seattle/king county coc,0.1492523227776127,11,0.4222760153451961,0.5715283381228088,2119230
ma-504,springfield/hampden county coc,0.14483991771041838,12,0.5746598505029876,0.719499768213406,468103
ny-600,new york city coc,0.12787773448105544,13,0.7980295578097154,0.9259072922907708,8497179
tx-611,amarillo coc,0.11317960651576056,14,0.2385233763486355,0.35170298286439605,189080
ok-504,norman/cleveland county coc,0.11050159832669008,15,0.0690634989541813,0.1795650972808714,202712
co-500,colorado balance of state coc,0.10576864913878714,16,0.12849628224079193,0.23426493137957907,1702773
or-503,central oregon coc,0.09987914167787842,17,0.2590472715663694,0.35892641324424784,219265
ny-507,schenectady city & county coc,0.09684041990006068,18,0.1568814802380983,0.253721900138159,154894
nv-501,"reno, sparks/washoe county coc",0.09509699668846633,19,0.17288319256130158,0.2679801892497679,444809
nj-504,newark/essex county coc,0.09388038504819399,20,0.18687867251875404,0.280759057566948,793563
fl-606,naples/collier county coc,0.0821653380456468,21,0.1015811199810907,0.1837464580267375,355381
ny-516,clinton county coc,0.07869658776513988,22,0.16354134644943127,0.24223793421457115,81325
ca-503,sacramento city & county coc,0.07851186520611375,23,0.1640576432506592,0.24256950845677294,1492768
ny-607,sullivan county coc,0.0770190954240034,24,0.1739569224231801,0.2509760178471835,75306
ca-502,"oakland, berkeley/alameda county coc",0.07530217767253522,25,0.2628193652100248,0.33812154288256,1625451
ny-514,"jamestown, dunkirk/chautauqua county coc",0.07030951471150174,26,0.040504394344669466,0.1108139090561712,130850
ca-506,"salinas/monterey, san benito counties coc",0.06870456222757726,27,0.6038662116263613,0.6725707738539386,490506
ny-608,kingston/ulster county coc,0.06844360358355131,28,0.18975015302431694,0.25819375660786825,179710
ma-505,new bedford coc,0.06311338319290605,29,0.3671095122387369,0.43022289543164294,95067
ny-519,"columbia, greene counties coc",0.062185073753326436,30,0.11705425647684978,0.1792393302301762,109351
md-512,hagerstown/washington county coc,0.06138571581082522,31,0.07139425643215544,0.13277997224298066,149872
ny-503,albany city & county coc,0.060002789318854804,32,0.21082061112030073,0.27082340043915554,308319
ca-501,san francisco coc,0.05222138611143734,33,0.7452887354166836,0.797510121528121,859801
or-502,"medford, ashland/jackson county coc",0.05012437403088976,34,0.2927825585916456,0.34290693262253535,213469
co-504,colorado springs/el paso county coc,0.04916202440924125,35,0.18050755347850939,0.22966957788775064,675318
ny-510,ithaca/tompkins county coc,0.04203246052292201,36,0.044898310104030344,0.08693077062695236,104681
ca-515,"roseville, rocklin/placer, nevada counties coc",0.03969846062884047,37,0.16090546276157697,0.20060392339041744,473570
ca-510,"turlock, modesto/stanislaus county coc",0.03747037498477762,38,0.21657876741201487,0.2540491423967925,533755
fl-515,"panama city/bay, jackson counties coc",0.03711720826038542,39,0.08803019304233003,0.12514740130271546,304441
ak-501,alaska balance of state coc,0.036524500907441,40,0.17264065335753176,0.20916515426497276,440800
ca-602,"santa ana, anaheim/orange county coc",0.035637681035131694,41,0.12174619555049894,0.15738387658563063,3148353
ny-513,"wayne, ontario, seneca, yates counties coc",0.0344836834704379,42,0.035249987547558745,0.06973367101799664,260993
ca-513,"visalia/kings, tulare counties coc",0.03360630217007751,43,0.12569415958710375,0.15930046175718127,607029
wi-502,racine city & county coc,0.03335882289544319,44,0.10777465858527797,0.14113348148072116,194851
