coc_code,coc_name,perc_change_2014_2018,rank_perc_change_2014_2018,overall_homeless_2014,overall_homeless_2018
ca-613,imperial county coc,4.010067114093959,1,298,1493
ca-525,el dorado county coc,2.3076923076923075,2,195,645
ma-502,lynn coc,1.7774869109947644,3,382,1061
ny-514,"jamestown, dunkirk/chautauqua county coc",1.7358490566037736,4,53,145
ok-504,norman/cleveland county coc,1.6,5,140,364
ny-513,"wayne, ontario, seneca, yates counties coc",0.9782608695652174,6,92,182
ny-510,ithaca/tompkins county coc,0.9361702127659575,7,47,91
md-512,hagerstown/washington county coc,0.8598130841121495,8,107,199
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",0.8238095238095238,9,630,1149
co-500,colorado balance of state coc,0.823126142595978,10,2188,3989
fl-606,naples/collier county coc,0.8088642659279779,11,361,653
ny-507,schenectady city & county coc,0.6172839506172839,12,243,393
ca-519,"chico, paradise/butte county coc",0.6163793103448276,13,696,1125
ca-507,marin county coc,0.6126656848306333,14,679,1095
or-505,oregon balance of state coc,0.5507035419699176,15,4122,6392
nv-501,"reno, sparks/washoe county coc",0.5500650195058517,16,769,1192
ny-519,"columbia, greene counties coc",0.53125,17,128,196
nj-504,newark/essex county coc,0.50236008091706,18,1483,2228
ny-516,clinton county coc,0.48120300751879697,19,133,197
ca-503,sacramento city & county coc,0.47856267864434465,20,2449,3621
tx-611,amarillo coc,0.4745011086474501,21,451,665
ca-600,los angeles city & county coc,0.45247579449306546,22,34393,49955
ar-505,southeast arkansas coc,0.44285714285714284,23,70,101
ny-607,sullivan county coc,0.44274809160305345,24,131,189
ny-606,rockland county coc,0.44,25,125,180
fl-604,monroe county coc,0.4351032448377581,26,678,973
fl-515,"panama city/bay, jackson counties coc",0.4216417910447761,27,268,381
nc-513,chapel hill/orange county coc,0.4074074074074074,28,108,152
md-506,carroll county coc,0.3951612903225806,29,124,173
fl-520,"citrus, hernando, lake, sumter counties coc",0.3913894324853229,30,511,711
or-503,central oregon coc,0.3855633802816901,31,568,787
ny-608,kingston/ulster county coc,0.36070381231671556,32,341,464
wa-500,seattle/king county coc,0.35344731254888817,33,8949,12112
md-505,baltimore county coc,0.3321616871704745,34,569,758
ma-508,lowell coc,0.33163265306122447,35,588,783
sd-500,south dakota statewide coc,0.3096045197740113,36,885,1159
wi-502,racine city & county coc,0.30952380952380953,37,210,275
ca-602,"santa ana, anaheim/orange county coc",0.29272110618314634,38,3833,4955
ca-502,"oakland, berkeley/alameda county coc",0.28651685393258425,39,4272,5496
ny-503,albany city & county coc,0.2846153846153846,40,650,835
md-509,frederick city & county coc,0.2845528455284553,41,246,316
co-504,colorado springs/el paso county coc,0.2723543888433142,42,1219,1551
md-511,mid-shore regional coc,0.2702702702702703,43,111,141
ca-513,"visalia/kings, tulare counties coc",0.2673656618610747,44,763,967
la-507,alexandria/central louisiana coc,0.2553191489361702,45,141,177
ma-504,springfield/hampden county coc,0.2520446096654275,46,2690,3368
ca-515,"roseville, rocklin/placer, nevada counties coc",0.24671916010498687,47,762,950
pa-603,beaver county coc,0.23157894736842105,48,95,117
al-502,florence/northwest alabama coc,0.22488038277511962,49,209,256
va-513,"harrisburg, winchester/western virginia coc",0.22088353413654618,50,249,304
ak-501,alaska balance of state coc,0.21156373193166886,51,761,922
nj-516,"warren, sussex, hunterdon counties coc",0.2114695340501792,52,279,338
ny-603,"nassau, suffolk counties coc",0.20611163080760836,53,3207,3868
de-500,delaware statewide coc,0.2008879023307436,54,901,1082
ca-510,"turlock, modesto/stanislaus county coc",0.17301038062283736,55,1156,1356
tx-600,"dallas city & county, irving coc",0.17273762094479225,56,3514,4121
ma-505,new bedford coc,0.17191977077363896,57,349,409
or-502,"medford, ashland/jackson county coc",0.1712,58,625,732
ut-504,provo/mountainland coc,0.1610738255033557,59,149,173
ny-600,new york city coc,0.16024185223418375,60,67810,78676
va-501,"norfolk/chesapeake, suffolk, isle of wight, southampton counties coc",0.15718562874251496,61,668,773
nj-511,paterson/passaic county coc,0.15425531914893617,62,376,434
md-510,garrett county coc,0.15384615384615385,63,13,15
ut-503,utah balance of state coc,0.149616368286445,64,782,899
mn-508,moorhead/west central minnesota coc,0.14953271028037382,65,214,246
wa-508,vancouver/clark county coc,0.14388489208633093,66,695,795
ny-602,"newburgh, middletown/orange county coc",0.14014251781472684,67,421,480
ca-517,napa city & county coc,0.12982456140350876,68,285,322
mi-515,monroe city & county coc,0.12972972972972974,69,185,209
fl-506,tallahassee/leon county coc,0.12919254658385093,70,805,909
pa-501,harrisburg/dauphin county coc,0.12373737373737374,71,396,445
oh-503,columbus/franklin county coc,0.11957868649318464,72,1614,1807
ny-518,"utica, rome/oneida, madison counties coc",0.11949685534591195,73,159,178
mo-500,st. louis county coc,0.11940298507462686,74,402,450
ca-506,"salinas/monterey, san benito counties coc",0.1137744767049291,75,2962,3299
wv-500,"wheeling, weirton area coc",0.1134020618556701,76,97,108
wa-503,"tacoma, lakewood/pierce county coc",0.11202185792349727,77,1464,1628
ca-505,richmond/contra costa county coc,0.11199601791936287,78,2009,2234
il-506,"joliet, bolingbrook/will county coc",0.10355987055016182,79,309,341
mi-510,saginaw city & county coc,0.09846153846153846,80,325,357
tn-510,murfreesboro/rutherford county coc,0.09689922480620156,81,258,283
va-521,virginia balance of state coc,0.08459214501510574,82,662,718
wa-502,spokane city & county coc,0.0835509138381201,83,1149,1245
wa-501,washington balance of state coc,0.08212375859434683,84,5236,5666
tx-503,austin/travis county coc,0.0805234021137393,85,1987,2147
il-500,mchenry county coc,0.0783132530120482,86,166,179
nh-500,new hampshire balance of state coc,0.07692307692307693,87,689,742
pa-512,york city & county coc,0.0728476821192053,88,302,324
ok-501,tulsa city & county coc,0.07227722772277227,89,1010,1083
ca-501,san francisco coc,0.07006866416978777,90,6408,6857
ak-500,anchorage coc,0.06940371456500488,91,1023,1094
nm-500,albuquerque coc,0.0685805422647528,92,1254,1340
oh-500,cincinnati/hamilton county coc,0.06807286673058485,93,1043,1114
ma-515,fall river coc,0.06497175141242938,94,354,377
az-502,"phoenix, mesa/maricopa county coc",0.06421088205474823,95,5918,6298
il-517,"aurora, elgin/kane county coc",0.06172839506172839,96,405,430
ca-511,stockton/san joaquin county coc,0.06108312342569269,97,1588,1685
tx-500,san antonio/bexar county coc,0.06016597510373444,98,2892,3066
ca-524,yuba city & county/sutter county coc,0.05371900826446281,99,726,765
nh-501,manchester coc,0.04914004914004914,100,407,427
tx-701,"bryan, college station/brazos valley coc",0.047872340425531915,101,188,197
nj-506,"jersey city, bayonne/hudson county coc",0.047503045066991476,102,821,860
nc-501,asheville/buncombe county coc,0.045283018867924525,103,530,554
ca-526,"amador, calaveras, mariposa, tuolumne counties coc",0.041884816753926704,104,382,398
il-509,dekalb city & county coc,0.041666666666666664,105,96,100
nc-506,"wilmington/brunswick, new hanover, pender counties coc",0.037383177570093455,106,321,333
ma-500,boston coc,0.03357274093870052,107,5987,6188
ma-506,worcester city & county coc,0.031180400890868598,108,1796,1852
mn-502,rochester/southeast minnesota coc,0.03112033195020747,109,482,497
fl-503,"lakeland, winterhaven/polk county coc",0.029850746268656716,110,536,552
tn-504,nashville-davidson county coc,0.02864816472694718,111,2234,2298
ok-505,northeast oklahoma coc,0.02349869451697128,112,383,392
