coc_code,coc_name,est_rate_perc_2017,rank_est_rate_perc_2017,total_pop_2017
ca-509,mendocino county coc,2.13,1,87274
dc-500,district of columbia coc,1.2,2,670534
ca-508,watsonville/santa cruz city & county coc,1.16,3,272584
fl-604,monroe county coc,1.15,4,78399
ca-501,san francisco coc,1.03,5,859801
ma-500,boston coc,0.99,6,666277
ny-600,new york city coc,0.96,7,8497179
ca-506,"salinas/monterey, san benito counties coc",0.95,8,490506
ga-500,atlanta coc,0.93,9,460412
ca-613,imperial county coc,0.89,10,179408
ca-522,humboldt county coc,0.83,11,135330
ca-504,"santa rosa, petaluma/sonoma county coc",0.8,12,500474
ca-600,los angeles city & county coc,0.79,13,9264635
fl-519,pasco county coc,0.72,14,497332
hi-500,hawaii balance of state coc,0.7,15,431130
ca-519,"chico, paradise/butte county coc",0.68,16,225190
ca-614,san luis obispo county coc,0.67,17.5,280843
ma-502,lynn coc,0.67,17.5,92522
ma-508,lowell coc,0.65,20,110393
or-501,"portland, gresham/multnomah county coc",0.65,20,787968
wa-500,seattle/king county coc,0.65,20,2119230
ca-603,santa maria/santa barbara county coc,0.6,23,442940
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",0.6,23,135313
hi-501,honolulu city and county coc,0.6,23,989820
ca-607,pasadena coc,0.57,26,137876
or-500,"eugene, springfield/lane county coc",0.57,26,363486
or-505,oregon balance of state coc,0.57,26,1468651
ca-500,san jose/santa clara city & county coc,0.53,29,1901963
ca-507,marin county coc,0.53,29,260367
ma-509,cambridge coc,0.53,29,109598
ca-524,yuba city & county/sutter county coc,0.52,32,169922
ma-504,springfield/hampden county coc,0.52,32,468103
md-501,baltimore coc,0.52,32,619546
ca-606,long beach coc,0.51,34,474605
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",0.47,35.5,601682
mo-501,st.louis city coc,0.47,35.5,314210
or-503,central oregon coc,0.46,37,219265
ca-502,"oakland, berkeley/alameda county coc",0.43,38,1625451
ca-525,el dorado county coc,0.42,39.5,183907
ga-507,savannah/chatham county coc,0.42,39.5,285936
ak-500,anchorage coc,0.41,44,299535
ca-510,"turlock, modesto/stanislaus county coc",0.41,44,533755
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",0.41,44,947619
fl-517,"hendry, hardee, highlands counties coc",0.41,44,253385
ma-505,new bedford coc,0.41,44,95067
nh-501,manchester coc,0.41,44,110323
or-502,"medford, ashland/jackson county coc",0.41,44,213469
pa-500,philadelphia coc,0.4,48,1564804
ca-523,"colusa, glenn, trinity counties coc",0.39,49,62236
tn-504,nashville-davidson county coc,0.38,50,677264
ca-518,vallejo/solano county coc,0.37,52.5,433439
ca-526,"amador, calaveras, mariposa, tuolumne counties coc",0.37,52.5,152888
ca-601,san diego city and county coc,0.37,52.5,3283616
ky-502,lexington-fayette county coc,0.37,52.5,314752
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",0.36,56.5,311933
co-500,colorado balance of state coc,0.36,56.5,1702773
ma-515,fall river coc,0.36,56.5,89077
nv-500,las vegas/clark county coc,0.36,56.5,2104734
mi-501,detroit coc,0.34,59,676812
nc-516,northwest north carolina coc,0.32,60.5,210136
nm-500,albuquerque coc,0.32,60.5,526332
fl-512,st. johns county coc,0.31,62,226229
ca-503,sacramento city & county coc,0.3,64,1492768
ca-521,"davis, woodland/yolo county coc",0.3,64,212022
tx-611,amarillo coc,0.3,64,189080
fl-508,"gainesville/alachua, putnam counties coc",0.29,67.5,414138
mn-501,saint paul/ramsey county coc,0.29,67.5,535645
mn-509,duluth/st.louis county coc,0.29,67.5,200200
nv-501,"reno, sparks/washoe county coc",0.29,67.5,444809
fl-500,"sarasota, bradenton/manatee, sarasota counties coc",0.28,71,767077
nj-504,newark/essex county coc,0.28,71,793563
ny-503,albany city & county coc,0.28,71,308319
ca-517,napa city & county coc,0.27,75,141351
fl-506,tallahassee/leon county coc,0.27,75,438911
mn-500,minneapolis/hennepin county coc,0.27,75,1220754
ne-502,lincoln coc,0.27,75,253363
ny-608,kingston/ulster county coc,0.27,75,179710
ca-515,"roseville, rocklin/placer, nevada counties coc",0.26,79,473570
co-504,colorado springs/el paso county coc,0.26,79,675318
fl-514,ocala/marion county coc,0.26,79,343871
ia-500,"sioux city/dakota, woodbury counties coc",0.25,82.5,122918
ok-502,oklahoma city coc,0.25,82.5,629187
wa-501,washington balance of state coc,0.25,82.5,2228592
wa-502,spokane city & county coc,0.25,82.5,490886
ca-514,fresno city & county/madera county coc,0.24,88,1123116
ca-520,merced city & county coc,0.24,88,266117
ga-503,athens-clarke county coc,0.24,88,123169
la-503,new orleans/jefferson parish coc,0.24,88,824422
nc-501,asheville/buncombe county coc,0.24,88,252888
ny-607,sullivan county coc,0.24,88,75306
tn-507,jackson/west tennessee coc,0.24,88,668662
ca-511,stockton/san joaquin county coc,0.23,93,721166
fl-505,"fort walton beach/okaloosa, walton counties coc",0.23,93,262928
il-510,chicago coc,0.23,93,2712975
ca-512,daly/san mateo county coc,0.22,97,760765
ca-602,"santa ana, anaheim/orange county coc",0.22,97,3148353
ks-503,topeka/shawnee county coc,0.22,97,178342
mi-510,saginaw city & county coc,0.22,97,193923
vt-500,vermont balance of state coc,0.22,97,464585
ca-505,richmond/contra costa county coc,0.21,103.5,1119782
fl-511,"pensacola/escambia, santa rosa counties coc",0.21,103.5,479606
id-500,boise/ada county coc,0.21,103.5,434095
in-503,indianapolis coc,0.21,103.5,937949
ma-516,massachusetts balance of state coc,0.21,103.5,1076446
md-507,cecil county coc,0.21,103.5,102390
mn-506,northwest minnesota coc,0.21,103.5,170369
vt-501,burlington/chittenden county coc,0.21,103.5,161309
ar-500,little rock/central arkansas coc,0.2,113.5,590603
az-501,tucson/pima county coc,0.2,113.5,1008139
ca-611,"oxnard, san buenaventura/ventura county coc",0.2,113.5,845387
co-503,metropolitan denver coc,0.2,113.5,3049220
ma-506,worcester city & county coc,0.2,113.5,816243
mi-507,"portage, kalamazoo city & county coc",0.2,113.5,260458
nc-511,fayetteville/cumberland county coc,0.2,113.5,327079
ny-604,"yonkers, mount vernon/westchester county coc",0.2,113.5,974393
or-507,clackamas county coc,0.2,113.5,400496
tn-502,knoxville/knox county coc,0.2,113.5,451980
tx-503,austin/travis county coc,0.2,113.5,1250891
ut-500,salt lake city & county coc,0.2,113.5,1111517
ca-513,"visalia/kings, tulare counties coc",0.19,122.5,607029
fl-510,"jacksonville-duval, clay counties coc",0.19,122.5,1192876
fl-606,naples/collier county coc,0.19,122.5,355381
mo-603,"st. joseph/andrew, buchanan, dekalb counties coc",0.19,122.5,119265
ny-507,schenectady city & county coc,0.19,122.5,154894
pa-501,harrisburg/dauphin county coc,0.19,122.5,272830
ak-501,alaska balance of state coc,0.18,133,440800
fl-501,tampa/hillsborough county coc,0.18,133,1343234
ma-507,"pittsfield/berkshire, franklin, hampshire counties coc",0.18,133,359837
ma-511,"quincy, brockton, weymouth, plymouth city and county coc",0.18,133,659052
md-500,cumberland/allegany county coc,0.18,133,72571
md-508,"charles, calvert, st.mary's counties coc",0.18,133,358636
me-500,maine statewide coc,0.18,133,1330746
mi-508,"lansing, east lansing/ingham county coc",0.18,133,287438
mi-514,battle creek/calhoun county coc,0.18,133,134592
mo-604,"kansas city, independence, lee’s summit/jackson, wyandotte counties, mo & ks",0.18,133,1007389
ne-501,"omaha, council bluffs coc",0.18,133,817762
nj-500,atlantic city & county coc,0.18,133,272676
tx-500,san antonio/bexar county coc,0.18,133,1919847
va-507,portsmouth coc,0.18,133,96007
wa-508,vancouver/clark county coc,0.18,133,465567
az-502,"phoenix, mesa/maricopa county coc",0.17,148.5,4163953
fl-504,"daytona beach, daytona/volusia, flagler counties coc",0.17,148.5,622944
fl-513,"palm bay, melbourne/brevard county coc",0.17,148.5,567775
fl-602,punta gorda/charlotte county coc,0.17,148.5,173501
ma-503,cape cod islands coc,0.17,148.5,242698
md-513,"wicomico, somerset, worcester counties coc",0.17,148.5,179053
mo-602,"joplin/jasper, newton counties coc",0.17,148.5,176273
mt-500,montana statewide coc,0.17,148.5,1032083
nc-505,charlotte/mecklenberg coc,0.17,148.5,1033260
ny-516,clinton county coc,0.17,148.5,81325
ok-501,tulsa city & county coc,0.17,148.5,690290
tn-501,memphis/shelby county coc,0.17,148.5,936230
tx-603,el paso city & county coc,0.17,148.5,836089
wa-503,"tacoma, lakewood/pierce county coc",0.17,148.5,837954
wa-504,everett/snohomish county coc,0.17,148.5,770645
wv-501,"huntington/cabell, wayne counties coc",0.17,148.5,137397
fl-600,miami-dade county coc,0.16,160,2689794
fl-605,west palm beach/palm beach county coc,0.16,160,1418708
