"","arrest_charge","arrest_statute","count"
"1","893.147(1)","narcotic equip possess or use",1016
"2","843.15(1b)","failure to appear for misdemeanor",971
"3","893.13(6a)","drugs   possess-controlled substance without prescription",772
"4","810.09(1a)*","trespassing-property not structure or convey",631
"5","843.02","resist officer-obstruct wo violence",619
"6","810.09(2b)","trespassing-fail to leave property",494
"7","812.014(3a)","larc-petit first offense",432
"8","812.014(2c1)","larc-theft is $300 or more but less than $5000",377
"9","893.13(6b)","marijuana possess-not more than 20 grams",373
"10","810.09(2a)","trespassing-property not structure or convey",354
"11","322.34(2a)","drive while license suspended 1st offense",351
"12","832.05(2b)","worthless check",317
"13","784.03(1a1)","domestic violence battery",273
"14","810.08(2a)","trespassing-structure or conveyance",246
"15","784.03(1a1)","battery-touch or strike",222
"16","812.014(3c)","larc-petit third or subsequent conviction",215
"17","901.36(1)","fraud imperson-false id given to leo",175
"18","784.03(2)","felony battery",172
"19","322.03(1)","operate motor vehicle wo valid license",163
"20","810.08(2b)","trespassing-occupied structure or conveyance",162
"21","812.019(1)","stolen prop deal in",146
"22","316.193(1)","dui alcohol or drugs",145
"23","812.014(2c6)","vehicle theft",139
"24","812.014(2e)","petit theft to und 300 dols",134
"25","810.02(4)(b)","burglary of an unoccupied conveyance",120
"26","812.015(2)","retail theft/shoplifting",116
"27","322.34(2c)","drive while lic susp with prior convictions",106
"28","806.13(1b2)","crim misch-over 200 dollars under 1000 dollars",106
"29","856.011","disorderly intoxication in public place",92
"30","810.02(4)","burgl-of structure conveyance unarmed wo person inside",89
"31","817.61","fraud illeg use credit cards",86
"32","812.014(2c5)","theft of firearm",84
"33","856.021","loitering-or prowling",83
"34","784.07(2b)","battery-on officer or firefighter",82
"35","324.022","financial responsibility violation",80
"36","810.02(3b)","burgl-of unoccupied dwelling; unarmed; no asslt or batt",78
"37","831.02","pass forged-altered instrument",78
"38","893.13(6a)","possession cocaine third degree",78
"39","810.02(4)(a)","burg-unoccupied structure",77
"40","806.13(1b1)","damage prop crim misch-200 dollars and under",76
"41","741.31(4a)","contempt of court - viol injunction protection domestic violence",70
"42","784.021(1a)","aggrav asslt-w deadly weapon without intent to kill",69
"43","322.34(5)","drive while lic susp habitual 2nd or subsq cnv",68
"44","812.015(6)","resist officer-in recovery of stolen property",66
"45","806.13(1b3)","damage prop crim misch-over 1000 dollars",64
"46","831.02","fraud-utter false instrument",63
"47","316.061(1)","lsoa without giving info more than $50 damage",59
"48","322.34(2)","knowingly drive while lic suspended revoked",58
