"","prosecutor","perc_of_total","perc_of_homeless","perc_of_crimes","perc_of_filtered"
"1",NA,81.49,83.8,111.17,113.21
"2","ginger bowden madden",7.89,9.65,14,16.35
"3","sarah j barickman",4.21,5.44,8.39,11.43
"4","athenia c singleton",8.09,5.64,12.52,10.9
"5","amanda m robocker",6.66,7.52,6.37,6.71
"6","david s rehr",6.61,8.66,6.62,5.87
"7","jennifer l flowers",4.15,4.78,5.19,4.72
"8","kayla cash",2.17,2.04,3.29,3.04
"9","arianna leone",1.37,1.96,1.1,1.05
"10","jennifer flowers",0.21,0.35,0.76,0.94
"11","athena pearl riley",1.45,2.18,0.55,0.73
"12","david l stevens",4.55,7.35,1.39,0.73
"13","cassie reed",5.54,9.72,1.35,0.42
"14","john a madden jr",2.57,2.99,0.8,0.42
"15","laresa dudley",4.78,2.94,1.6,0.42
"16","anne n izzo",0.98,0.96,0.17,0.21
"17","stephen bernhardt",0.8,1.9,0.13,0.21
"18","angela h liles",1.97,2.12,0.38,0.1
"19","kayla robinson",0.33,0.3,0.08,0.1
